context,variant,entry_ts,exit_ts,side,held_sec,mfe_usd,exit_move_usd,giveback_usd,retained_fraction,dir_mid_move2,dir_event_imb2,gc_bar_start_utc,gc_close,gc_ret5,gc_ret15,gc_ret30,gc_volume,gc_volume_rel_1h,dir_gc_ret5,dir_gc_ret15,dir_gc_ret30,basis_gc_minus_mt5,trade_pnl_inr
historical7d:500ms:segment0,H,1789575064.3500001,1789575449.467,BUY,385.11699986457825,9.399999999999636,4.819999999999709,4.579999999999927,0.5127659574467974,-0.4750000000003638,-0.30434782608695654,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-59.9501953125,17.086326473817415
historical7d:500ms:segment0,H,1789577693.868,1789578568.9190001,SELL,875.0510001182556,13.800000000000182,8.300000000000182,5.5,0.6014492753623241,-0.31999999999970896,-0.15384615384615385,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,-33.93519531250058,29.92138054227536
historical7d:500ms:segment0,H,1789593033.9889998,1789593249.4550002,SELL,215.46600031852722,19.139999999999418,14.3799999999992,4.760000000000218,0.7513061650992496,-0.3000000000010914,-0.13333333333333333,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,-17.605195312500655,44.52360146828263
historical7d:500ms:segment0,H,1789596332.446,1789596467.447,SELL,135.00099992752075,16.159999999999854,6.75,9.409999999999854,0.41769801980198396,-1.0400000000008731,-0.2413793103448276,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,32.574804687499636,29.49666383647215
historical7d:500ms:segment0,H,1789598469.9750001,1789598705.334,BUY,235.35899996757507,4.5900000000001455,-1.199999999999818,5.789999999999964,-0.26143790849668413,-0.3600000000005821,-0.4666666666666667,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,30.43480468750022,-5.061968385733272
historical7d:500ms:segment0,H,1789623087.402,1789623737.9859998,SELL,650.5839998722076,6.089999999999236,1.1499999999996362,4.9399999999996,0.1888341543513597,-0.569999999999709,-0.2727272727272727,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,9.229804687500291,6.168158990240969
historical7d:500ms:segment0,H,1789639759.456,1789640389.978,BUY,630.521999835968,13.69000000000051,8.650000000000546,5.039999999999964,0.6318480642805131,-0.5500000000001819,-0.6,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-28.670195312500255,49.03155268404681
historical7d:500ms:segment0,H,1789640864.822,1789641340.964,BUY,476.1419999599457,7.050000000000182,2.850000000000364,4.199999999999818,0.40425531914897733,-0.06999999999970896,-0.6,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-34.860195312499854,17.202954080187233
historical7d:500ms:segment0,H,1789656821.38,1789657166.99,BUY,345.6099998950958,13.36999999999989,7.430000000000291,5.9399999999996,0.5557217651458752,-0.8700000000008004,-0.42857142857142855,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-51.235195312499854,46.56918055274593
historical7d:500ms:segment0,H,1789658224.968,1789658685.481,BUY,460.5130000114441,14.779999999999745,9.960000000000036,4.819999999999709,0.6738836265223416,-0.5249999999996362,-0.4117647058823529,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-73.92519531250036,69.87437997750624
historical7d:500ms:segment0,H,1789661749.9420002,1789662215.485,BUY,465.5429997444153,5.920000000000073,0.32000000000061846,5.599999999999454,0.054054054054157856,-0.7650000000003274,-0.21428571428571427,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-73.76019531249949,2.4059164355427716
historical7d:500ms:segment0,H,1789664819.497,1789665094.9390001,BUY,275.44200015068054,4.0,-2.2100000000000364,6.210000000000036,-0.5525000000000091,-0.18999999999959982,-0.07692307692307693,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,-77.84019531250033,-16.625837616134127
historical7d:500ms:segment0,H,1789706581.792,1789707266.825,SELL,685.0329999923706,4.75,0.47000000000025466,4.279999999999745,0.09894736842110624,-0.09500000000025466,-0.14285714285714285,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,-52.785195312500036,3.30502954102935
historical7d:500ms:segment0,H,1789712211.0449998,1789712841.82,SELL,630.7750000953674,8.05999999999949,3.819999999999709,4.239999999999782,0.4739454094292742,-0.29500000000007276,-0.3333333333333333,1.7902722,4295.7998046875,0.00039574548545573407,-0.0004422856009726355,-0.00018627926543458593,490.0,0.6210392902408112,-0.00039574548545573407,0.0004422856009726355,0.00018627926543458593,-43.045195312499345,26.956844089380944
